alcohol,malic_acid,ash,phenols,wine_type
14.23,1.76,2.45,15.6,0
13.2,1.78,2.14,11.2,0
13.16,2.36,2.67,18.6,0
14.37,1.95,2.5,16.8,0
13.24,2.59,2.87,21.0,0
14.2,1.76,2.45,15.2,0
14.39,1.87,2.38,12.0,0
12.37,1.21,2.56,18.1,0
12.37,1.13,2.16,19.0,0
13.63,1.66,2.36,17.2,0
14.06,2.15,3.9,27.0,1
12.37,1.68,1.84,10.2,1
13.71,1.73,2.45,12.6,1
12.85,1.65,2.59,24.0,1
13.5,1.73,2.46,20.0,1
14.22,1.70,2.30,16.3,1
13.71,5.65,1.74,4.6,2
13.88,1.50,2.26,17.6,2
12.85,1.67,2.6,30.0,2
12.96,1.35,2.45,20.5,2
13.81,1.8,1.6,3.4,2
14.0,1.68,2.7,19.5,2
13.87,1.9,2.8,19.9,2
12.0,1.51,2.42,22.0,2
11.03,1.27,2.6,18.1,2
13.71,1.86,2.36,22.6,2
12.37,1.07,2.1,18.5,2
13.71,1.5,1.73,12.8,2
13.13,1.73,2.46,20.9,2
14.1,2.02,2.44,28.0,2
14.13,4.1,2.74,24.5,2
14.4,2.96,2.45,20.9,2
